IPhone 7 Plus128G 国行全网通,手机,2399.00,5999.00,全新,四川南充 顺庆区,http://2.taobao.com/item.htm?id=593099376758
三星E1220原装直板按键移动联通手机老人学生备用手机,手机,32.00,166.00,全新,广东深圳 福田区,http://2.taobao.com/item.htm?id=593099801919
三星s7e,手机,400.00,4000.00,非全新,广东广州 越秀区,http://2.taobao.com/item.htm?id=593100926803
苹果手机 iphone6splus 换机者勿扰！,手机,1400.00,3300.00,非全新,湖北武汉 武昌区,http://2.taobao.com/item.htm?id=593104848525
国行iphone xs256g,手机,7000.00,10099.00,非全新,江苏常州 武进区,http://2.taobao.com/item.htm?id=594070910492
魅族手机自己用的魅蓝note5闲置低价出,手机,600.00,1299.00,非全新,新疆乌鲁木齐 天山区,http://2.taobao.com/item.htm?id=592648159038
三星S7美版全网通4G运行32G内存屏幕有小点480,手机,480.00,480.00,非全新,广东潮州 潮安区,http://2.taobao.com/item.htm?id=592648630877
oppo r17全新未拆封手机 r17 r15r11s,手机,1999.00,3498.00,全新,河北石家庄 长安区,http://2.taobao.com/item.htm?id=592648682431
华为畅享9s   麒麟710 处理器128G内存,手机,1500.00,1599.00,全新,广西桂林 灵川县,http://2.taobao.com/item.htm?id=592695806183
iphone se 9.3系统，国行，粉色，国行，三网通，,手机,999.00,3299.00,非全新,北京北京 顺义区,http://2.taobao.com/item.htm?id=593325649637
华为 HUAWEI P20 Pro,手机,1042.00,1042.00,非全新,山东德州 德城区,http://2.taobao.com/item.htm?id=593326481325
oppo r17全新未拆封手机 r17 r15r11s,手机,1999.00,3498.00,全新,河北石家庄 长安区,http://2.taobao.com/item.htm?id=592648682431
魅族手机自己用的魅蓝note5闲置低价出,手机,600.00,1299.00,非全新,新疆乌鲁木齐 天山区,http://2.taobao.com/item.htm?id=592648159038
三星S7美版全网通4G运行32G内存屏幕有小点480,手机,480.00,480.00,非全新,广东潮州 潮安区,http://2.taobao.com/item.htm?id=592648630877
华为畅享9s   麒麟710 处理器128G内存,手机,1500.00,1599.00,全新,广西桂林 灵川县,http://2.taobao.com/item.htm?id=592695806183
6s Plus玫瑰金,手机,950.00,5600.00,非全新,山西运城 稷山县,http://2.taobao.com/item.htm?id=592952982553
VIVO X27 全网雀羽蓝8＋128G,手机,2799.00,3198.00,全新,四川成都 郫都区,http://2.taobao.com/item.htm?id=592951862339
华为手机9.9成新 华为nova4e,手机,2000.00,2299.00,全新,内蒙古呼和浩特 回民区,http://2.taobao.com/item.htm?id=593902050114
小米note3 黑色 6+128 顶配 高通骁龙660处理器,手机,799.00,1800.00,非全新,广东深圳 罗湖区,http://2.taobao.com/item.htm?id=592246431891
